datetime,query,target,found?,index
2020-03-06 15:35:28.459580,icon analytics,iconanalytics.com,True,151
2020-03-06 15:37:23.071626,icon analytics,iconanalytics.com,True,151
2020-03-06 16:36:41.348187,icon analytics,icon-analytics.com,False,153
2020-03-06 16:45:51.538344,icon analytics,iconanalytics.com,True,152
2020-03-09 10:18:42.188347,icon analytics,iconanalytics.com,True,62
2020-03-09 10:21:04.853558,iconanalytics,iconanalytics.com,False,153
2020-03-09 10:22:08.411190,icon analytics,iconanalytics.com,True,62
2020-03-09 11:19:38.629558,icon analytics,iconanalytics.com,True,59
2020-03-09 19:53:42.057639,icon analytics,iconanalytics.com,True,63
2020-03-10 09:33:49.575037,icon analytics,iconanalytics.com,True,63
2020-03-10 12:50:32.115286,icon analytics,iconanalytics.com,True,64
2020-03-10 13:24:48.257037,iconanalytics,iconanalytics.com,False,143
2020-03-10 13:25:56.805419,icon analytics,iconanalytics.com,True,64
2020-03-10 20:02:16.407536,icon analytics,iconanalytics.com,True,67
2020-03-11 10:35:59.546372,icon analytics,iconanalytics.com,True,74
2020-03-11 11:01:23.535773,icon analytics,iconanalytics.com,True,74
2020-03-11 12:50:07.523502,icon analytics,iconanalytics.com,True,95
2020-03-11 13:06:00.591913,iconanalytics,iconanalytics.com,False,165
2020-03-11 13:35:14.996976,icon analytics,iconanalytics.com,True,95
2020-03-11 16:19:39.389585,icon analytics,iconanalytics.com,True,71
2020-03-12 09:53:44.104111,icon analytics,iconanalytics.com,True,86
2020-03-12 11:19:59.201407,icon analytics,iconanalytics.com,True,87
2020-03-13 09:44:13.976956,icon analytics,iconanalytics.com,True,88
2020-03-13 14:24:26.663787,icon analytics,iconanalytics.com,True,83
2020-03-13 16:10:42.245940,icon analytics,iconanalytics.com,True,97
2020-03-14 10:10:16.976334,icon analytics,iconanalytics.com,True,81
2020-03-15 08:36:31.081048,icon analytics,iconanalytics.com,True,85
2020-03-16 06:51:10.381834,icon analytics,iconanalytics.com,True,89
2020-03-16 11:15:40.901908,icon analytics,iconanalytics.com,True,91
2020-03-16 11:49:49.233658,icon analytics,iconanalytics.com,True,119
2020-03-16 12:29:22.449448,icon analytics,iconanalytics.com,True,123
2020-03-16 21:51:36.960032,icon analytics,iconanalytics.com,True,118
2020-03-17 09:35:33.380311,icon analytics,iconanalytics.com,True,128
2020-03-17 18:39:01.821761,icon analytics,iconanalytics.com,True,125
2020-03-17 21:50:43.429026,icon analytics,iconanalytics.com,True,131
2020-03-17 23:12:13.094554,icon analytics,iconanalytics.com,True,127
2020-03-18 09:05:51.919154,icon analytics,iconanalytics.com,True,86
2020-03-18 10:07:28.172171,icon analytics,iconanalytics.com,True,128
2020-03-18 16:32:33.113155,icon analytics,iconanalytics.com,True,96
2020-03-18 16:39:04.219893,icon analytics,iconanalytics.com,True,96
2020-03-19 08:07:44.454055,icon analytics,iconanalytics.com,True,128
2020-03-19 10:51:57.534100,icon analytics,iconanalytics.com,True,86
2020-03-19 10:52:43.375792,icon analytics,iconanalytics.com,True,86
2020-03-19 12:39:01.123129,icon analytics,iconanalytics.com,True,86
2020-03-19 15:45:32.324844,icon analytics,iconanalytics.com,True,125
2020-03-19 20:34:33.791238,icon analytics,iconanalytics.com,True,127
2020-03-19 22:43:02.671009,icon analytics,iconanalytics.com,True,120
